epoch,loss,accuracy,precision,recall,f1_score,precision_cover,recall_cover,f1_cover,precision_stego,recall_stego,f1_stego,learning_rate
1,0.6936021152883768,0.503125,0.5031359759157049,0.501375,0.5022539444027048,0.503114100647733,0.504875,0.5039930122285999,0.5031359759157049,0.501375,0.5022539444027048,0.001
2,0.6925511747598648,0.5099375,0.5098378913500804,0.515,0.5124059449039239,0.5100391463568632,0.504875,0.5074439349205352,0.5098378913500804,0.515,0.5124059449039239,0.001
3,0.6910015188157559,0.5215,0.5212345679012346,0.52775,0.524472049689441,0.5217721518987342,0.51525,0.5184905660377358,0.5212345679012346,0.52775,0.524472049689441,0.001
4,0.6865461587905883,0.5355625,0.5350067675649071,0.5435,0.5392199417126557,0.5361361615648419,0.527625,0.5318465318465319,0.5350067675649071,0.5435,0.5392199417126557,0.001
5,0.6769436612725258,0.5534375,0.5512405609492989,0.574875,0.5628097656489016,0.5558312655086849,0.532,0.543654595388644,0.5512405609492989,0.574875,0.5628097656489016,0.001
6,0.6615563675761222,0.577,0.5714783012299838,0.615625,0.5927307738596702,0.58344622053644,0.538375,0.5600052008841503,0.5714783012299838,0.615625,0.5927307738596702,0.001
7,0.6417234100401401,0.602625,0.5934228493400091,0.651875,0.6212771026923993,0.6138380476982807,0.553375,0.5820404943465685,0.5934228493400091,0.651875,0.6212771026923993,0.001
8,0.6193609926849604,0.62225,0.6111363636363636,0.67225,0.6402380952380953,0.6358333333333334,0.57225,0.6023684210526316,0.6111363636363636,0.67225,0.6402380952380953,0.001
9,0.6004082418978214,0.6375625,0.6272695732624032,0.678,0.6516489457559921,0.6496668026655786,0.597125,0.6222888034911743,0.6272695732624032,0.678,0.6516489457559921,0.001
10,0.5865917634218931,0.6428125,0.6352551201610039,0.67075,0.6525202164528485,0.65126439825235,0.614875,0.6325467755416961,0.6352551201610039,0.67075,0.6525202164528485,0.001
11,0.5706044606864452,0.6563125,0.6467206382729086,0.689,0.6671911880409127,0.6672462217466898,0.623625,0.6446985849970924,0.6467206382729086,0.689,0.6671911880409127,0.001
12,0.5527373990043998,0.6681875,0.662913185615692,0.684375,0.6734731533304631,0.6738147526159411,0.652,0.6627279080109268,0.662913185615692,0.684375,0.6734731533304631,0.001
13,0.5402123481035233,0.681375,0.6744409713873527,0.70125,0.6875842627773011,0.6888831033585003,0.6615,0.6749139140415763,0.6744409713873527,0.70125,0.6875842627773011,0.001
14,0.5377246016636491,0.679875,0.677260408967726,0.68725,0.6822186375480829,0.68256787617356,0.6725,0.6774965369600806,0.677260408967726,0.68725,0.6822186375480829,0.001
